game_id,game_date,opponent,cluster,segment_name,business_recommendation,total_revenue,tickets_sold,sell_through_rate,avg_ticket_price,promotion_usage_rate,cart_abandonment_rate
32,2026-02-21,MIA,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",2138183941.92,12419186,689.9547777777777,172.42677638797454,0.3561553653719552,0.4896694214876033
33,2026-02-25,LAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3804304455.0,18375300,1020.85,206.52329231389953,0.1079281823683679,0.5112781954887218
34,2026-03-01,OKC,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3717078794.32,18621736,1034.540888888889,198.77824339007609,0.0981528431727634,0.5087999999999999
35,2026-03-05,OKC,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2607341885.32,14324160,795.7866666666666,183.19833227914825,0.0978283786632932,0.497504159733777
36,2026-03-09,MIL,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2963091908.0,16317000,906.5,180.55726963103123,0.1002838221381267,0.4959216965742251
37,2026-03-13,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1741604239.76,10674048,593.0026666666666,163.4821610915493,0.3505721830985915,0.4741144414168937
38,2026-03-17,SAS,1,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2226765652.36,12986585,721.4769444444445,172.64661667023785,0.1002785515320334,0.5282258064516129
39,2026-03-21,BOS,2,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,4426190311.04,20511184,1139.5102222222222,215.62358082706768,0.1030075187969924,0.4967148488830486
40,2026-03-25,SAS,0,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1669989736.8,10441332,580.074,159.666838357465,0.348920009494422,0.4880174291938998
41,2026-03-29,PHX,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,3886482750.56,19732128,1096.2293333333334,197.35260062456624,0.0985426786953504,0.465288035450517
