session_id,game_id,device,source,viewed_ticket_page,added_to_cart,checkout_started,purchased
239,1,Mobile,Paid Search,1,0,0,0
240,1,Mobile,Organic,1,1,1,1
241,1,Desktop,Organic,1,0,0,0
242,1,Mobile,Paid Search,1,0,0,0
243,1,Tablet,Email,1,0,0,0
244,1,Desktop,Direct,1,1,1,1
245,1,Desktop,Email,1,0,0,0
246,1,Mobile,Paid Search,1,1,1,1
247,1,Mobile,Social,1,0,0,0
248,1,Mobile,Social,1,1,0,0
249,1,Desktop,Paid Search,1,1,0,0
250,1,Mobile,Organic,1,1,0,0
251,1,Mobile,Email,1,1,1,1
252,1,Mobile,Email,1,0,0,0
253,1,Mobile,Organic,1,1,0,0
254,1,Mobile,Paid Search,1,0,0,0
255,1,Desktop,Paid Search,1,0,0,0
256,1,Desktop,Social,1,1,1,1
257,1,Desktop,Email,1,1,1,1
258,1,Mobile,Organic,1,1,0,0
259,1,Mobile,Email,1,1,1,1
260,1,Mobile,Email,1,1,1,0
261,1,Mobile,Paid Search,1,0,0,0
262,1,Desktop,Social,1,1,1,1
263,1,Mobile,Organic,1,0,0,0
264,1,Mobile,Organic,1,0,0,0
265,1,Mobile,Paid Search,1,0,0,0
266,1,Desktop,Organic,1,0,0,0
267,1,Mobile,Organic,1,1,1,1
268,1,Tablet,Paid Search,1,0,0,0
269,1,Desktop,Social,1,1,1,1
270,1,Desktop,Paid Search,1,1,1,1
271,1,Desktop,Organic,1,1,0,0
272,1,Desktop,Social,1,1,0,0
273,1,Mobile,Paid Search,1,1,1,1
274,1,Desktop,Email,1,0,0,0
275,1,Mobile,Email,1,1,0,0
276,1,Mobile,Social,1,1,0,0
277,1,Mobile,Email,1,0,0,0
278,1,Desktop,Paid Search,1,0,0,0
279,1,Mobile,Social,1,0,0,0
280,1,Mobile,Paid Search,1,0,0,0
281,1,Desktop,Social,1,1,0,0
282,1,Mobile,Social,1,0,0,0
283,1,Desktop,Email,1,0,0,0
284,1,Mobile,Direct,1,1,1,1
285,1,Desktop,Organic,1,1,1,1
286,1,Desktop,Paid Search,1,0,0,0
287,1,Mobile,Organic,1,1,0,0
288,1,Desktop,Social,1,0,0,0
289,1,Mobile,Paid Search,1,0,0,0
290,1,Mobile,Email,1,1,0,0
291,1,Desktop,Paid Search,1,1,1,1
292,1,Mobile,Paid Search,1,0,0,0
293,1,Mobile,Social,1,1,1,1
294,1,Desktop,Email,1,0,0,0
295,1,Mobile,Paid Search,1,0,0,0
296,1,Desktop,Paid Search,1,0,0,0
297,1,Mobile,Social,1,0,0,0
298,1,Mobile,Social,1,1,0,0
299,1,Desktop,Direct,1,1,0,0
300,1,Mobile,Email,1,1,1,0
301,1,Mobile,Direct,1,1,1,1
302,1,Desktop,Email,1,0,0,0
303,1,Mobile,Paid Search,1,0,0,0
304,1,Mobile,Paid Search,1,1,0,0
305,1,Tablet,Paid Search,1,0,0,0
306,1,Mobile,Paid Search,1,1,0,0
307,1,Desktop,Paid Search,1,1,1,1
308,1,Desktop,Email,1,0,0,0
309,1,Mobile,Organic,1,1,0,0
310,1,Mobile,Email,1,0,0,0
311,1,Desktop,Social,1,1,1,1
312,1,Mobile,Social,1,1,0,0
313,1,Mobile,Paid Search,1,0,0,0
314,1,Mobile,Email,1,1,1,1
315,1,Mobile,Paid Search,1,1,1,1
316,1,Mobile,Email,1,1,0,0
317,1,Mobile,Direct,1,1,1,1
318,1,Desktop,Organic,1,1,1,0
319,1,Mobile,Email,1,0,0,0
320,1,Mobile,Email,1,1,1,1
321,1,Desktop,Email,1,0,0,0
322,1,Mobile,Email,1,0,0,0
323,1,Desktop,Paid Search,1,0,0,0
324,1,Desktop,Social,1,1,1,0
325,1,Mobile,Email,1,0,0,0
326,1,Mobile,Paid Search,1,0,0,0
327,1,Mobile,Direct,1,0,0,0
328,1,Mobile,Social,1,0,0,0
329,1,Tablet,Email,1,0,0,0
330,1,Desktop,Direct,1,1,0,0
331,1,Mobile,Social,1,1,0,0
332,1,Desktop,Social,1,1,0,0
333,1,Mobile,Organic,1,1,0,0
334,1,Mobile,Organic,1,0,0,0
335,1,Tablet,Paid Search,1,0,0,0
336,1,Desktop,Paid Search,1,1,1,1
337,1,Desktop,Email,1,0,0,0
338,1,Mobile,Paid Search,1,0,0,0
339,1,Desktop,Email,1,1,1,1
340,1,Mobile,Direct,1,1,0,0
341,1,Tablet,Direct,1,1,1,1
342,1,Mobile,Email,1,0,0,0
343,1,Mobile,Email,1,0,0,0
344,1,Mobile,Paid Search,1,0,0,0
345,1,Mobile,Direct,1,1,1,0
346,1,Mobile,Social,1,0,0,0
347,1,Desktop,Paid Search,1,1,0,0
348,1,Mobile,Email,1,0,0,0
349,1,Desktop,Paid Search,1,1,1,1
350,1,Desktop,Direct,1,0,0,0
351,1,Mobile,Social,1,1,1,1
352,1,Mobile,Organic,1,0,0,0
353,1,Desktop,Email,1,0,0,0
354,1,Mobile,Paid Search,1,0,0,0
355,1,Desktop,Email,1,1,0,0
356,1,Mobile,Social,1,0,0,0
357,1,Mobile,Organic,1,0,0,0
358,1,Desktop,Email,1,0,0,0
359,1,Tablet,Paid Search,1,0,0,0
360,1,Desktop,Email,1,1,1,0
361,1,Desktop,Organic,1,0,0,0
362,1,Mobile,Paid Search,1,1,1,1
363,1,Mobile,Social,1,0,0,0
364,1,Desktop,Social,1,1,1,1
365,1,Mobile,Paid Search,1,1,0,0
366,1,Desktop,Email,1,1,1,1
367,1,Desktop,Organic,1,1,1,1
368,1,Mobile,Direct,1,1,0,0
369,1,Tablet,Social,1,1,0,0
370,1,Desktop,Paid Search,1,1,0,0
371,1,Mobile,Paid Search,1,1,1,1
372,1,Mobile,Paid Search,1,0,0,0
373,1,Mobile,Social,1,0,0,0
374,1,Mobile,Paid Search,1,0,0,0
375,1,Desktop,Organic,1,0,0,0
376,1,Mobile,Social,1,0,0,0
377,1,Mobile,Direct,1,0,0,0
378,1,Mobile,Organic,1,0,0,0
379,1,Tablet,Direct,1,1,0,0
380,1,Mobile,Direct,1,0,0,0
381,1,Desktop,Email,1,0,0,0
382,1,Desktop,Paid Search,1,0,0,0
383,1,Mobile,Email,1,0,0,0
384,1,Desktop,Paid Search,1,1,0,0
385,1,Mobile,Paid Search,1,1,1,1
386,1,Desktop,Direct,1,1,1,1
387,1,Desktop,Social,1,0,0,0
388,1,Desktop,Direct,1,1,1,1
389,1,Mobile,Organic,1,1,0,0
390,1,Mobile,Paid Search,1,0,0,0
391,1,Mobile,Direct,1,0,0,0
392,1,Mobile,Social,1,0,0,0
393,1,Mobile,Organic,1,0,0,0
394,1,Mobile,Direct,1,0,0,0
395,1,Mobile,Social,1,1,0,0
396,1,Desktop,Paid Search,1,0,0,0
397,1,Mobile,Organic,1,0,0,0
398,1,Mobile,Direct,1,1,1,1
399,1,Mobile,Paid Search,1,0,0,0
400,1,Tablet,Paid Search,1,1,1,1
401,1,Mobile,Email,1,1,0,0
402,1,Mobile,Email,1,0,0,0
403,1,Desktop,Email,1,1,0,0
404,1,Desktop,Social,1,0,0,0
405,1,Mobile,Paid Search,1,0,0,0
406,1,Mobile,Paid Search,1,1,1,1
407,1,Desktop,Paid Search,1,1,0,0
408,1,Desktop,Paid Search,1,0,0,0
409,1,Mobile,Paid Search,1,0,0,0
410,1,Desktop,Social,1,0,0,0
411,1,Desktop,Organic,1,1,1,1
412,1,Desktop,Paid Search,1,1,0,0
413,1,Mobile,Email,1,1,0,0
414,1,Desktop,Social,1,0,0,0
415,1,Desktop,Organic,1,1,1,1
416,1,Desktop,Social,1,0,0,0
417,1,Mobile,Organic,1,1,0,0
418,1,Tablet,Email,1,0,0,0
419,1,Mobile,Email,1,1,1,1
420,1,Mobile,Direct,1,0,0,0
421,1,Tablet,Email,1,0,0,0
422,1,Mobile,Paid Search,1,1,0,0
423,1,Desktop,Email,1,0,0,0
424,1,Desktop,Email,1,0,0,0
425,1,Desktop,Direct,1,1,1,0
426,1,Desktop,Email,1,1,1,1
427,1,Desktop,Email,1,0,0,0
428,1,Mobile,Organic,1,1,0,0
429,1,Mobile,Organic,1,0,0,0
430,1,Mobile,Paid Search,1,0,0,0
431,1,Desktop,Paid Search,1,0,0,0
432,1,Desktop,Organic,1,1,1,1
433,1,Mobile,Organic,1,1,1,1
434,1,Mobile,Paid Search,1,0,0,0
435,1,Desktop,Organic,1,1,0,0
436,1,Tablet,Paid Search,1,1,1,1
437,1,Desktop,Paid Search,1,0,0,0
438,1,Desktop,Organic,1,0,0,0
439,1,Desktop,Paid Search,1,0,0,0
440,1,Mobile,Social,1,0,0,0
441,1,Mobile,Organic,1,0,0,0
442,1,Desktop,Direct,1,0,0,0
443,1,Mobile,Email,1,0,0,0
444,1,Tablet,Paid Search,1,0,0,0
445,1,Mobile,Social,1,1,1,1
446,1,Desktop,Paid Search,1,0,0,0
447,1,Mobile,Organic,1,0,0,0
448,1,Mobile,Email,1,0,0,0
449,1,Desktop,Paid Search,1,1,0,0
450,1,Mobile,Paid Search,1,1,1,1
451,1,Desktop,Direct,1,0,0,0
452,1,Mobile,Organic,1,1,1,1
453,1,Mobile,Email,1,0,0,0
454,1,Mobile,Paid Search,1,0,0,0
455,1,Desktop,Social,1,0,0,0
456,1,Desktop,Paid Search,1,0,0,0
457,1,Mobile,Paid Search,1,0,0,0
458,1,Mobile,Social,1,0,0,0
459,1,Mobile,Organic,1,0,0,0
460,1,Desktop,Paid Search,1,1,1,1
461,1,Desktop,Paid Search,1,1,1,1
462,1,Mobile,Email,1,1,1,0
463,1,Desktop,Paid Search,1,1,1,1
464,1,Mobile,Paid Search,1,0,0,0
465,1,Mobile,Social,1,0,0,0
466,1,Tablet,Social,1,0,0,0
467,1,Mobile,Organic,1,0,0,0
468,1,Mobile,Paid Search,1,1,1,1
469,1,Mobile,Paid Search,1,0,0,0
470,1,Desktop,Paid Search,1,0,0,0
471,1,Mobile,Paid Search,1,0,0,0
472,1,Mobile,Paid Search,1,1,0,0
473,1,Mobile,Paid Search,1,1,0,0
474,1,Mobile,Social,1,0,0,0
475,1,Desktop,Email,1,1,0,0
476,1,Desktop,Organic,1,0,0,0
477,1,Desktop,Paid Search,1,0,0,0
478,1,Mobile,Email,1,0,0,0
479,1,Tablet,Email,1,1,1,1
480,1,Mobile,Social,1,0,0,0
481,1,Mobile,Organic,1,0,0,0
482,1,Mobile,Social,1,0,0,0
483,1,Desktop,Direct,1,1,0,0
484,1,Mobile,Email,1,0,0,0
485,1,Desktop,Email,1,1,0,0
486,1,Mobile,Paid Search,1,1,1,1
487,1,Mobile,Paid Search,1,1,1,1
488,1,Desktop,Email,1,1,0,0
489,1,Desktop,Social,1,0,0,0
490,1,Mobile,Organic,1,1,1,1
491,1,Mobile,Social,1,0,0,0
492,1,Mobile,Email,1,1,1,1
493,1,Mobile,Organic,1,1,1,1
494,1,Desktop,Email,1,0,0,0
495,1,Desktop,Social,1,0,0,0
496,1,Mobile,Email,1,1,1,1
497,1,Mobile,Email,1,1,0,0
498,1,Desktop,Social,1,1,1,1
499,1,Mobile,Email,1,0,0,0
500,1,Tablet,Email,1,0,0,0
501,1,Mobile,Paid Search,1,1,0,0
502,1,Desktop,Paid Search,1,0,0,0
503,1,Desktop,Organic,1,0,0,0
504,1,Desktop,Social,1,0,0,0
505,1,Desktop,Social,1,1,1,0
506,1,Desktop,Paid Search,1,1,0,0
507,1,Mobile,Email,1,1,1,1
508,1,Mobile,Paid Search,1,1,0,0
509,1,Mobile,Direct,1,1,1,1
510,1,Mobile,Organic,1,0,0,0
511,1,Mobile,Paid Search,1,0,0,0
512,1,Mobile,Email,1,0,0,0
513,1,Mobile,Paid Search,1,1,1,0
514,1,Mobile,Paid Search,1,0,0,0
515,1,Mobile,Social,1,0,0,0
516,1,Mobile,Email,1,1,1,1
517,1,Desktop,Paid Search,1,0,0,0
518,1,Mobile,Email,1,1,1,0
519,1,Mobile,Direct,1,1,0,0
520,1,Mobile,Organic,1,1,0,0
521,1,Tablet,Social,1,1,0,0
522,1,Mobile,Social,1,1,1,1
523,1,Tablet,Social,1,1,0,0
524,1,Desktop,Paid Search,1,0,0,0
525,1,Desktop,Paid Search,1,0,0,0
526,1,Mobile,Paid Search,1,0,0,0
527,1,Mobile,Paid Search,1,1,0,0
528,1,Mobile,Paid Search,1,0,0,0
529,1,Desktop,Social,1,0,0,0
530,1,Mobile,Organic,1,1,1,1
531,1,Desktop,Email,1,0,0,0
532,1,Mobile,Organic,1,1,1,1
533,1,Mobile,Social,1,0,0,0
534,1,Desktop,Paid Search,1,0,0,0
535,1,Desktop,Direct,1,0,0,0
536,1,Mobile,Email,1,1,1,0
537,1,Desktop,Email,1,1,0,0
538,1,Desktop,Direct,1,0,0,0
539,1,Mobile,Paid Search,1,0,0,0
540,1,Mobile,Organic,1,0,0,0
541,1,Mobile,Paid Search,1,0,0,0
542,1,Mobile,Social,1,0,0,0
543,1,Mobile,Social,1,1,0,0
544,1,Desktop,Direct,1,1,0,0
545,1,Mobile,Email,1,1,0,0
546,1,Tablet,Direct,1,1,0,0
547,1,Mobile,Organic,1,1,1,1
548,1,Mobile,Paid Search,1,0,0,0
549,1,Mobile,Paid Search,1,1,1,1
550,1,Desktop,Direct,1,1,1,1
551,1,Desktop,Email,1,0,0,0
552,1,Desktop,Email,1,0,0,0
553,1,Desktop,Paid Search,1,1,1,1
554,1,Desktop,Paid Search,1,0,0,0
555,1,Desktop,Paid Search,1,1,1,1
556,1,Mobile,Paid Search,1,1,1,1
557,1,Mobile,Social,1,0,0,0
558,1,Tablet,Email,1,1,1,0
559,1,Mobile,Paid Search,1,0,0,0
560,1,Desktop,Social,1,1,1,1
561,1,Desktop,Email,1,1,1,1
562,1,Tablet,Email,1,1,1,1
563,1,Mobile,Social,1,0,0,0
564,1,Desktop,Email,1,1,1,1
565,1,Mobile,Paid Search,1,0,0,0
566,1,Desktop,Paid Search,1,1,0,0
567,1,Mobile,Direct,1,0,0,0
568,1,Mobile,Paid Search,1,1,1,1
569,1,Desktop,Organic,1,1,1,0
570,1,Desktop,Email,1,0,0,0
571,1,Mobile,Email,1,0,0,0
572,1,Mobile,Organic,1,0,0,0
573,1,Desktop,Email,1,1,1,1
574,1,Mobile,Email,1,0,0,0
575,1,Tablet,Social,1,0,0,0
576,1,Mobile,Email,1,0,0,0
577,1,Desktop,Paid Search,1,0,0,0
578,1,Desktop,Organic,1,0,0,0
579,1,Mobile,Email,1,0,0,0
580,1,Mobile,Organic,1,1,1,1
581,1,Desktop,Social,1,1,0,0
582,1,Mobile,Paid Search,1,1,0,0
583,1,Desktop,Direct,1,0,0,0
584,1,Tablet,Social,1,1,0,0
585,1,Desktop,Organic,1,1,1,1
586,1,Mobile,Paid Search,1,0,0,0
587,1,Desktop,Paid Search,1,0,0,0
588,1,Mobile,Email,1,0,0,0
589,1,Desktop,Social,1,1,1,1
590,1,Desktop,Email,1,1,0,0
591,1,Tablet,Email,1,1,1,1
592,1,Mobile,Email,1,0,0,0
593,1,Desktop,Social,1,1,1,0
594,1,Mobile,Paid Search,1,1,1,1
595,1,Mobile,Email,1,1,1,0
596,1,Mobile,Direct,1,1,0,0
597,1,Desktop,Paid Search,1,0,0,0
598,1,Mobile,Email,1,1,0,0
599,1,Desktop,Social,1,0,0,0
600,1,Mobile,Paid Search,1,0,0,0
601,1,Mobile,Email,1,0,0,0
602,1,Mobile,Organic,1,0,0,0
603,1,Mobile,Paid Search,1,0,0,0
604,1,Mobile,Paid Search,1,0,0,0
605,1,Mobile,Paid Search,1,0,0,0
606,1,Desktop,Organic,1,1,1,1
607,1,Desktop,Email,1,0,0,0
608,1,Desktop,Social,1,0,0,0
609,1,Desktop,Social,1,0,0,0
610,1,Mobile,Email,1,0,0,0
611,1,Mobile,Email,1,1,1,1
612,1,Mobile,Email,1,0,0,0
613,1,Mobile,Direct,1,0,0,0
614,1,Mobile,Email,1,1,0,0
615,1,Desktop,Email,1,0,0,0
616,1,Mobile,Email,1,1,1,1
617,1,Desktop,Organic,1,1,1,1
618,1,Mobile,Email,1,0,0,0
619,1,Desktop,Direct,1,0,0,0
620,1,Desktop,Email,1,1,1,1
621,1,Mobile,Email,1,0,0,0
622,1,Mobile,Paid Search,1,1,1,1
623,1,Mobile,Organic,1,0,0,0
624,1,Mobile,Direct,1,0,0,0
625,1,Mobile,Email,1,1,1,1
626,1,Desktop,Social,1,1,1,1
627,1,Mobile,Paid Search,1,1,1,1
628,1,Tablet,Paid Search,1,0,0,0
629,1,Mobile,Social,1,0,0,0
630,1,Desktop,Organic,1,0,0,0
631,1,Mobile,Social,1,1,1,0
632,1,Desktop,Direct,1,1,1,1
633,1,Desktop,Email,1,0,0,0
634,1,Desktop,Social,1,0,0,0
635,1,Desktop,Organic,1,1,0,0
636,1,Desktop,Paid Search,1,1,1,0
637,1,Desktop,Email,1,1,1,0
638,1,Mobile,Email,1,0,0,0
639,1,Desktop,Paid Search,1,1,1,1
640,1,Mobile,Paid Search,1,0,0,0
641,1,Desktop,Paid Search,1,0,0,0
642,1,Mobile,Email,1,0,0,0
643,1,Tablet,Paid Search,1,0,0,0
644,1,Mobile,Paid Search,1,0,0,0
645,1,Desktop,Organic,1,0,0,0
646,1,Desktop,Email,1,0,0,0
647,1,Desktop,Email,1,1,0,0
648,1,Desktop,Email,1,0,0,0
649,1,Mobile,Email,1,0,0,0
650,1,Tablet,Email,1,1,0,0
651,1,Mobile,Paid Search,1,1,0,0
652,1,Mobile,Paid Search,1,1,1,1
653,1,Mobile,Paid Search,1,1,0,0
654,1,Mobile,Paid Search,1,1,1,1
655,1,Mobile,Organic,1,1,1,1
656,1,Mobile,Email,1,0,0,0
657,1,Mobile,Social,1,0,0,0
658,1,Desktop,Social,1,0,0,0
